"search_job_keyword","search_job_location","title","company","location","posted_time","number_of_applicants","job_description","seniority_level","employment_type","job_function","industry","job_poster_name","job_poster_designation","job_poster_profile_url","job_url","listing_url"
"Backend Engineer","United states","Backend Software Engineer","Ponto","San Francisco, CA","10 months ago","51 applicants","Ponto is building the financial infrastructure to power the next generation of wallets, banks, and financial services by integrating local economies into the global financial system. Our mission is to power and provide access to the best financial experiences anywhere in the world, enabling the vast population of unbanked individuals across the globe to participate in the global economy. We're looking for backend software engineers with a passion for building reliable and scalable systems that power great products. Our team is diverse, empathetic, and mission-driven. Our ideal teammate is one who shares our drive to effect positive change, with a willingness to jump into any aspect of our system and our work. Although experience in fintech, blockchain, or crypto is valuable, you don't need to have any experience in these areas to join us! Expected compensation range 185K-250K. In Your Role At Ponto, You Will Design and build highly available, resilient, and performant production systems that power financial services for a large number of end-users. Security will be at the forefront of how you design and operate these systems. Design and implement data collection and manipulation pipelines. Design well-abstracted and documented APIs for our customers and partners. Rigorously develop and implement automated testing to cover the full gamut of functionality in our systems, including unit tests, integration tests, and end-to-end tests. Setup and manage CI/CD pipelines and other developer tooling to increase your team's engineering velocity. Learn your way around public cloud providers and their numerous service offerings. Work with a diverse, talented, and kind group of people with many different roles in performing all of the above. Qualifications Hands-on experience with distributed systems such as Spark, Kafka, or Cassandra, but no experience with a specific technology is required. Strong coding skills in any object-oriented language. We believe languages can be learned and are far more interested in your general engineering abilities. An inclusive, collaborative, and respectful attitude, along with great critical thinking and problem solving abilities. 8+ years of relevant experience We Offer Best-in-class benefits package Meaningful and significant equity in a fast-growing startup Flexible vacation policy, with an annual minimum Parental Leave Relocation support Generous wellness package that includes gym memberships In office, we pay for meals for our employees so you can focus on work A world-class environment in which to learn and do your best work","Entry level","Full-time","Engineering and Information Technology","Financial Services","","","","https://www.linkedin.com/jobs/view/backend-software-engineer-at-ponto-3647560521?refId=NgutGcUj56w86pWQWiTvPQ%3D%3D&trackingId=NgutGcUj56w86pWQWiTvPQ%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Junior Node.JS Developer","Team Remotely Inc","Detroit, MI","1 day ago","102 applicants","This is a remote position. Junior Node.JS Developer (1 year experience, remote) Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $57K-$67K Per Annum. Description: In this role, you will work closely with experienced developers and contribute to the design, development, and maintenance of robust and scalable applications using Node.js. This is an excellent opportunity for someone looking to kick-start their career in web development. Responsibilities: Collaborate with the development team to gather project requirements and specifications. Assist in the design, development, and maintenance of server-side applications using Node.js. Learn to develop and consume RESTful APIs, integrating with third-party services. Write clean and efficient code following best practices and coding standards. Participate in unit testing and debugging to ensure code quality and reliability. Collaborate with front-end developers to integrate server-side logic with client-side components. Contribute to code reviews and actively participate in knowledge sharing. Stay updated with emerging technologies and industry trends to enhance your skills and knowledge. Seek guidance and support from senior team members to resolve technical issues. Qualifications Bachelor's degree in Computer Science, Software Engineering, or a related field. Basic understanding of JavaScript and web technologies. Familiarity with Node.js and its ecosystem. Understanding of asynchronous programming and event-driven architecture. Knowledge of databases and SQL. Strong problem-solving and analytical skills. Excellent communication and collaboration abilities. Eagerness to learn and a passion for web development. Ability to work both independently and in a team-oriented, collaborative environment. Benefits: Competitive salary based on skills, qualifications, and experience. Comprehensive health, dental, and vision insurance plans. Paid time off and holidays. Flexible work schedule and remote work options. Mentorship and guidance from experienced developers. Learning and growth opportunities to enhance your skills and knowledge in web development. Access to resources and training programs to stay updated with emerging technologies and industry trends. Description: In this role, you will work closely with experienced developers and contribute to the design, development, and maintenance of robust and scalable applications using Node.js. This is an excellent opportunity for someone looking to kick-start their career in web development. Responsibilities: Collaborate with the development team to gather project requirements and specifications. Assist in the design, development, and maintenance of server-side applications using Node.js. Learn to develop and consume RESTful APIs, integrating with third-party services. Write clean and efficient code following best practices and coding standards. Participate in unit testing and debugging to ensure code quality and reliability. Collaborate with front-end developers to integrate server-side logic with client-side components. Contribute to code reviews and actively participate in knowledge sharing. Stay updated with emerging technologies and industry trends to enhance your skills and knowledge. Seek guidance and support from senior team members to resolve technical issues. Qualifications Bachelor's degree in Computer Science, Software Engineering, or a related field. Basic understanding of JavaScript and web technologies. Familiarity with Node.js and its ecosystem. Understanding of asynchronous programming and event-driven architecture. Knowledge of databases and SQL. Strong problem-solving and analytical skills. Excellent communication and collaboration abilities. Eagerness to learn and a passion for web development. Ability to work both independently and in a team-oriented, collaborative environment. Benefits: Competitive salary based on skills, qualifications, and experience. Comprehensive health, dental, and vision insurance plans. Paid time off and holidays. Flexible work schedule and remote work options. Mentorship and guidance from experienced developers. Learning and growth opportunities to enhance your skills and knowledge in web development. Access to resources and training programs to stay updated with emerging technologies and industry trends.","Entry level","Full-time","Information Technology","Software Development","","","","https://www.linkedin.com/jobs/view/junior-node-js-developer-at-team-remotely-inc-3871996676?trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Junior Node.JS Developer","Team Remotely Inc","Fairfield, ND","1 day ago","Be among the first 25 applicants","Junior Node.JS Developer (1 year experience, onsite) Be part of our future! This job posting builds our talent pool for potential future openings. Well compare your skills and experience against both current and future needs. If theres a match, well contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $57K-$67K Per Annum. Description: In this role, you will work closely with experienced developers and contribute to the design, development, and maintenance of robust and scalable applications using Node.js. This is an excellent opportunity for someone looking to kick-start their career in web development. Responsibilities: Collaborate with the development team to gather project requirements and specifications. Assist in the design, development, and maintenance of server-side applications using Node.js. Learn to develop and consume RESTful APIs, integrating with third-party services. Write clean and efficient code following best practices and coding standards. Participate in unit testing and debugging to ensure code quality and reliability. Collaborate with front-end developers to integrate server-side logic with client-side components. Contribute to code reviews and actively participate in knowledge sharing. Stay updated with emerging technologies and industry trends to enhance your skills and knowledge. Seek guidance and support from senior team members to resolve technical issues. Qualifications Bachelors degree in Computer Science, Software Engineering, or a related field. Basic understanding of JavaScript and web technologies. Familiarity with Node.js and its ecosystem. Understanding of asynchronous programming and event-driven architecture. Knowledge of databases and SQL. Strong problem-solving and analytical skills. Excellent communication and collaboration abilities. Eagerness to learn and a passion for web development. Ability to work both independently and in a team-oriented, collaborative environment. Benefits: Competitive salary based on skills, qualifications, and experience. Comprehensive health, dental, and vision insurance plans. Paid time off and holidays. Flexible work schedule and remote work options. Mentorship and guidance from experienced developers. Learning and growth opportunities to enhance your skills and knowledge in web development. Access to resources and training programs to stay updated with emerging technologies and industry trends.","Entry level","Full-time","Engineering and Information Technology","Staffing and Recruiting","","","","https://www.linkedin.com/jobs/view/junior-node-js-developer-at-team-remotely-inc-3871998234?refId=8THiCZe%2F0kdhEftqGiZ6FA%3D%3D&trackingId=8THiCZe%2F0kdhEftqGiZ6FA%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Backend Engineer","Ritual","New York, NY","4 months ago","80 applicants","About Ritual Ritual is building a sovereign, execution layer for AI. Our first phase, Infernet, is the first product of its kind to enable developers to access models both on-chain via smart contracts and off-chain. Our next phase, the Ritual chain, will be an execution layer custom-built to support AI-native operations and enable a new class of applications at the intersection of crypto and AI. Join us on our journey to decentralize AI! About The Role Your responsibilities will include designing prototypes, analyzing solution trade-offs, formalizing technical decisions, and implementing novel research. You will work closely with engineers and operators with deep experience building and shipping products in the ML and blockchain space. Partner closely with Ritual product, and research teams to design prototypes and iterate with the engineering team towards production-grade solutions Review code and technical proposals with feedback for other team members Work in domains such as distributed/p2p systems, AI/ML, and blockchain/cryptocurrency Use tools and languages such as Python/Pytorch, Rust, GCP Use your experience to build, test, debug, and deploy large-scale decentralized systems across hundreds of nodes About You Be fluent in a systems' language such as Rust, C, C++, assembly languages, shell scripting, DSLs etc Have a level of expertise in one or more of networking, distributed systems, storage, databases, operating systems, and runtimes to be able to read research papers in the field and design systems based on them Experience building and shipping production-level systems or applications; emphasis for systems involving ML or incentive design Strong communication and collaboration abilities Why join us Join a passionate group of engineers, researchers, and operators on a mission to build the next generation of AI infrastructure Highly competitive compensation package, including annual discretionary bonus & optimized tax structure compared to the vast majority of web3 startups Top 1% of benefits across the web3 startup space 100% of premiums covered on highest quality healthcare Aggressive company 401k match Fully remote and/or hybrid, up to you! Participate in virtual and in-person events Much much more!","Entry level","Full-time","Engineering and Information Technology","Technology, Information and Internet","","","","https://www.linkedin.com/jobs/view/backend-engineer-at-ritual-3779860202?trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Backend Engineer","Rain","New York, NY","1 week ago","69 applicants","Rain’s mission is to create the fastest and easiest pathways for web3 teams to spend crypto in the real world. We’re a small and mighty team of passionate builders and veteran founders. We are looking for a founding software engineer to join us to build at the cutting edge of the intersection of crypto and fintech. You will have the opportunity to deliver massive impact at a small and quickly growing company that is funded by some of the top investors in fintech and crypto; you would be joining at the earliest possible time. Many of our engineers are based in NYC but we are open to fully remote candidates. Our Ethos: We believe in an open structure and you will be able to grow into the roles that most align with their goals. Our team members at all levels have the freedom to explore ideas and impact the roadmap and vision of our company. In your application please share any DAOs or open source projects you have contributed to. What You'll Do Be a critical part of the technical and product roadmap. Contribute to our backend and integrate Help drive the technical roadmap and architectural decisions as we grow Interact with smart contracts across the Crypto ecosystem on multiple chains What We're Looking For Experience with NodeJs and other backend technologies A builder mentality, someone who experiments with side projects Defi curious and looking to gain more exposure to Rust and Solidity smart contracts Nice to haves, but not mandatory Fintech experience (neobank or card issuing experience gets extra brownie points) Experience with Dapp contracts Experience contributing to DAOs Our perks enable working at Rain to be a fulfilling, healthy and happy experience. Unlimited time off 🛼 Unlimited vacation can be daunting, so at Rain we require our teammates to take 10 days minimum for themselves. Flexible working ☕ We support a flexible workplace, if you feel comfortable at home please work from home. If you’d like to work with others in an office feel free to come in. We want everyone to be able to work in the environment in which they are their most confident and productive selves. Flexible Benefits 🧠 Easy-to-access benefits, for all employees based in the US, Rain pays a percentage of your benefits for the employee and for your dependents. We offer comprehensive health, dental and vision plans as well as a 100% company-subsidized life insurance plan. Equity plan 📦 On top of a competitive salary, we offer every Rain employee an equity option plan so we can all can benefit from our success. Rain Cards 🌧️ We want our teammates to be knowledgeable about our core products and services and to support this mission we issue a card for our team to utilize the card for testing. Health and Wellness 📚 High performance begins from within. Our members are welcome to use their company card for eligible health and wellness spending like gym memberships, fitness classes and other wellness items. Team summits ✨ Summits play an important role at Rain! Time spent together helps us get to know each other, strengthen our relationships, and build a common destiny. Stay tuned for upcoming destinations!","Entry level","Full-time","Engineering and Information Technology","Financial Services","","","","https://www.linkedin.com/jobs/view/backend-engineer-at-rain-3860723312?refId=tCSpkvir7jRgjwrE%2BvHkDQ%3D%3D&trackingId=tCSpkvir7jRgjwrE%2BvHkDQ%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Backend Developer Full-time","Eulerity","New York, NY","4 months ago","Over 200 applicants","About us: Eulerity is a rapidly growing technology company providing marketing automation to small businesses and franchise systems globally. Your Role: Take an active role in developing, testing, and maintaining our backend services Implementing new features, starting from design all the way to deployment Help come up with new features and product ideas Collaborate with other teams on features and releases Assist with the preparation of documentation, training, and support of various systems Review your peers' work through code reviews About You: You are a self-starter with at least 1 year of professional experience building backend solutions with Java ML development experience is a plus! Enjoy coming up with creative solutions to complex problems Someone who enjoys learning new technologies Comfortable working with third-party APIs Able to work in conjunction with other team members Willing to work in a hybrid environment (in-office and at home) Benefits: Full health benefits (medical, dental, vision) Unlimited PTO 401k with company match Expensed travel into office","Entry level","Full-time","Engineering and Information Technology","Technology, Information and Internet","","","","https://www.linkedin.com/jobs/view/backend-developer-full-time-at-eulerity-3755587967?refId=fMV%2Bt1OaqZ2p7R%2BtoWb5bQ%3D%3D&trackingId=fMV%2Bt1OaqZ2p7R%2BtoWb5bQ%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Back-end engineer","Stirred, Inc.","San Francisco, CA","11 months ago","60 applicants","Stirred is a digital platform inspiring and empowering cocktail occasions. We harness technology to help cocktail enthusiasts and home hosts alike unlock the magic in their home bar and make the perfect drink for the moment, enabling easier decisions, higher confidence and broader horizons with cocktails. We are seeking Back-end Developers with 2+ years of professional experience. In addition to back-end development and experience building APIs, the candidate should be comfortable owning the IT management function. It’s also important for the candidate to be an entrepreneurial problem-solver and comfortable in a high growth business environment. Essential Job Functions This role will focus on supporting our Lead Software Engineer in addition to documenting and building out Stirred API capabilities. The candidate will also provide remote IT support to a 10-person team. Candidate will also be expected to update and maintain Stirred IT systems, in addition to troubleshooting requests for phone and network systems and applications. Required Experience 2+ years Ruby on Rails 2+ years of SQL Database programming Optional Experience AWS Heroku Google Cloud Exposure to purchasing of software, hardware, and other IT supplies and needs. Assists with the management of software licenses, software, hardware, and other IT equipment. Also manages onboarding/offboarding of access to IT systems. Proposed Start Date: ASAP Schedule: Part-time for the Summer of 2021 Compensation: Part-time summer work will be in exchange for Stirred equity. Stirred anticipates the role will convert into a full-time, paid position in the Fall. To apply: Please send your resume and a brief description of your background to ocassions@stirred.com. Please title your email “FIRST NAME, LAST NAME Back-end Engineer Application”","Entry level","Contract","Engineering and Information Technology","IT Services and IT Consulting","","","","https://www.linkedin.com/jobs/view/back-end-engineer-at-stirred-inc-3619294791?refId=mtT0A7ynjAG5oOOLPOZXnQ%3D%3D&trackingId=mtT0A7ynjAG5oOOLPOZXnQ%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Backend Engineer","Shipt","California, United States","1 week ago","Over 200 applicants","At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Shipt shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour. Software Engineer - Shopping Account We are currently on the lookout for a Software Engineer for our Shopper Operations initiatives. This role is on a team that will help develop smarter ways to connect with shoppers, optimize intelligence and maximize operational success. Are you passionate about software development, sharing knowledge, growing your skills, and working with great people? The Shipt engineering team is growing, and we are looking for extraordinary engineers who enjoy building as much as we do. So if you are self-directed, enjoy autonomy in your work, and are an excellent participant in a team, please apply. What You’ll Gain You will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career advice Your Responsibilities You’ll join a team of talented individuals who will provide you with hands-on mentorship on topics ranging from design to communications strategy. Develop, test (unit/integration/etc), deploy and maintain application code Develop multi-region, high performance services to manage shopper data, onboarding, and preferences Work with a variety of technologies: Go, Postgres, DynamoDB, Redis, Kafka and more Participate in the design process to build efficient, scalable and maintainable architecture Review and collaborate with other engineers on their code Requirements 2+ years of relevant work experience 2+ years programming in Golang, Ruby, C, C++, Java, Python or similar language Experience reviewing and collaborating with other engineers on their code Excellent written and verbal communication skills; able to effectively collaborate with diverse teams Nice to Haves Experience with Golang, Postgres Experience developing microservices Experience with non-relational databases Asynchronous/Multi-threaded Programming Patterns Message queuing technologies/strategies Able to explain REST principles and design APIs that follow them Experience with SOA, micro-services, and/or distributed architectures Work Arrangement Shipt considers candidates located near a Shipt office or workspace in Birmingham, San Francisco, or Minneapolis to be hybrid, which means that they have the flexibility to work from home (with leader approval) or at a Shipt office in order to facilitate the ability to innovate, collaborate, and spark team connections. In-office expectations will vary by role and leader. Certain roles may require in-office presence on a full-time basis. Please work with your recruiter to learn more about the classification of this role. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, color, national origin, ethnicity, religion or religious belief, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, military or veteran status, disability, or any other characteristic protected by law. Please inform your recruiting contact upon initial connection if you need any accommodations.","Entry level","Full-time","Engineering and Information Technology","Software Development","","","","https://www.linkedin.com/jobs/view/backend-engineer-at-shipt-3831505885?trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Junior React Developer","Team Remotely Inc","Charlotte, NC","16 hours ago","41 applicants","Junior React Developer (1 year experience, hybrid) Be part of our future! This job posting builds our talent pool for potential future openings. Well compare your skills and experience against both current and future needs. If theres a match, well contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $57K-$67K Per Annum. Responsibilities: Develop and implement high-quality, scalable, and maintainable React components for our web applications. Collaborate with the development team to translate design mock-ups into functional features. Participate in code reviews and provide constructive feedback to enhance the overall code quality. Debug and resolve software defects and issues. Stay updated with the latest industry trends and best practices in front-end development. Requirements: Proficiency in HTML, CSS, and JavaScript. Strong understanding of React and its ecosystem. Experience working with RESTful APIs and integrating backend services. Familiarity with version control systems (e.g., Git). Good problem-solving and analytical skills. Excellent communication and collaboration abilities. Ability to learn quickly and adapt to new technologies and frameworks.","Entry level","Full-time","Information Technology","Software Development","","","","https://www.linkedin.com/jobs/view/junior-react-developer-at-team-remotely-inc-3873446034?refId=slXwtcX1KfG%2FWXACmhSQnQ%3D%3D&trackingId=slXwtcX1KfG%2FWXACmhSQnQ%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
"Backend Engineer","United states","Junior React Developer","Team Remotely Inc","Minneapolis, MN","1 day ago","Over 200 applicants","This is a remote position. Junior React Developer (1 year experience, remote) Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $58K-$68K Per Annum. Responsibilities: Develop and implement high-quality, scalable, and maintainable React components for our web applications. Collaborate with the development team to translate design mock-ups into functional features. Participate in code reviews and provide constructive feedback to enhance the overall code quality. Debug and resolve software defects and issues. Stay updated with the latest industry trends and best practices in front-end development. Requirements: Proficiency in HTML, CSS, and JavaScript. Strong understanding of React and its ecosystem. Experience working with RESTful APIs and integrating backend services. Familiarity with version control systems (e.g., Git). Good problem-solving and analytical skills. Excellent communication and collaboration abilities. Ability to learn quickly and adapt to new technologies and frameworks.","Entry level","Full-time","Information Technology","Software Development","","","","https://www.linkedin.com/jobs/view/junior-react-developer-at-team-remotely-inc-3871998244?refId=wl6%2B11wUw2Wd52ksNiVLWA%3D%3D&trackingId=wl6%2B11wUw2Wd52ksNiVLWA%3D%3D&trk=public_jobs_topcard-title","https://www.linkedin.com/jobs/search/?geoId=103644278&keywords=Backend+Engineer&location=United+states&position=1&pageNum=0&start=0"
